Estimated Time (s),LOX Tank PT (PSI),IPA Cav PT (PSI),LOX CAV PT (PSI),LOX CAV TC ©,LOX TANK TC ©,IPA CAV TC ©,,Total mass,Time,avg mass flow rate
2,46.56241925,92.71486473,49.27414575,30.74078714,19.09703551,21.33372041,,7.4,10.11,0.731948566
4,57.25856835,94.86338639,59.72377396,32.32339004,19.10287921,20.6964881,,,,
6,73.66072056,95.83145428,77.30353591,32.69684416,20.29149282,18.93727316,,,,
8,80.88756645,99.86870295,85.6947172,36.5226714,18.36654342,27.93307804,,,,
10,93.66586572,105.2618142,96.41931045,33.41870697,20.65624786,11.17048449,,,,
12,97.91929364,108.1925647,101.3620486,32.7436134,17.91483403,7.630746585,,,,
14,102.196426,109.9163126,105.3670596,32.49181377,21.03121317,29.88271413,,,,
16,104.923323,111.6817787,108.5054566,33.42477591,19.94824603,36.27086144,,,,
18,107.7365018,113.5875733,110.8919656,32.29379225,20.61832861,30.98285486,,,,
20,108.6713839,114.4456544,111.6580755,32.9144819,15.07436349,20.91882402,,,,
22,112.3179917,116.03666,117.184877,33.80330088,35.74320411,74.96487057,,,,
24,111.4883559,116.3523962,111.3783694,33.01689893,12.19709992,-76.24671289,,,,
26,111.954848,117.6001695,116.006319,30.66778242,19.76657255,75.09520619,,,,
28,112.859389,118.2316411,117.1867733,25.60440334,21.89502762,30.60167211,,,,
30,112.6915657,117.4039012,116.3779961,34.23135717,21.88607342,16.23129058,,,,
32,113.1068578,117.6769701,116.0850159,33.44805192,20.06321964,20.6172539,,,,
34,113.5638692,118.0021877,116.3249003,32.69648041,21.40659916,21.67185648,,,,
36,113.3495858,118.1472561,117.0208465,32.82857168,19.31426758,31.37961864,,,,
38,114.6675231,121.0467172,118.1946632,32.6513148,20.32189675,26.43053832,,,,
40,130.1575488,152.243896,133.7178749,32.71708242,22.67533184,29.75227049,,,,
42,141.5686067,164.2551373,145.308136,32.42345934,21.41167718,20.1094953,,,,
44,154.3004472,181.9913453,158.2514126,33.3216712,22.15817579,29.0867643,,,,
46,167.5395509,193.0212457,171.5919685,32.4369006,22.43624141,45.99785263,,,,
48,198.9282578,210.7346971,201.7926371,31.54549192,21.50054394,23.72612915,,,,
50,204.2056947,214.9046867,209.4480497,33.21139329,21.3401353,4.722141661,,,,
52,208.8545036,218.0222247,215.3522165,36.71567223,22.29753472,-9.144920285,,,,
54,213.5327064,221.0354648,218.0895431,33.24067269,21.62213019,20.62978139,,,,
56,215.6243384,222.5932853,220.5822458,32.53625848,21.94152312,42.39265975,,,,
58,218.116092,224.668799,224.2753154,35.51443529,22.20227536,-17.40002672,,,,
60,220.4286447,226.036039,224.58631,32.68135079,21.87810811,33.32342464,,,,
62,220.607847,226.4418508,225.081247,32.49250467,22.25163422,37.97417176,,,,
64,221.7854562,227.0230708,225.3950865,32.95794982,20.46724746,29.0184402,,,,
66,221.6859004,226.9585966,225.908039,32.41772391,23.10579165,-5.844347045,,,,
68,222.1571342,227.6042901,226.3422951,32.28711733,22.54862874,34.84772145,,,,
70,222.0793848,227.7929742,226.5233924,33.48154658,21.93244984,34.12037021,,,,
72,222.2073863,228.0603529,227.0714275,32.23372616,20.93435207,34.15367171,,,,
74,222.2510004,227.6915209,226.7329359,32.29893283,22.00117397,33.13182518,,,,
76,222.3420235,227.8451214,227.0078999,32.14049199,20.86633324,34.53806761,,,,
78,222.4311508,228.1836147,227.1994286,32.66548619,21.47032365,7.772424687,,,,
80,222.7402496,222.5629445,227.0391887,32.64560647,20.97326347,23.28444435,,,,
82,222.4870913,180.4420592,226.9235147,31.75169763,20.97049765,29.20127079,,,,
84,221.4156768,178.83683,226.2057595,31.8180715,20.85991182,12.24604721,,,,
86,220.6599941,178.7287413,224.9342816,31.61902779,22.74947274,41.26465401,,,,
88,220.2380648,178.8102815,225.1703746,31.78509032,21.37982407,21.24307197,,,,
90,220.1034286,210.107965,224.3909887,30.789132,21.66053289,29.45349114,,,,
92,220.1707467,224.619494,224.3198773,31.4888761,21.38383431,26.88763776,,,,
94,221.591084,226.4598659,226.1280112,31.53200743,19.91672281,24.46883147,,,,
96,222.2993567,226.875157,226.5499413,31.38788157,21.8390101,34.86612312,,,,
98,222.59044,227.4772382,227.2117524,30.69772638,21.56280803,18.59381936,,,,
100,223.0882241,227.7948689,227.536972,30.74513865,22.27693606,32.20913964,,,,
102,223.4968783,228.3836746,227.814781,30.11584786,21.88466213,24.09455446,,,,
104,223.4599003,228.2917038,227.872618,30.46669462,20.99372344,40.57744213,,,,
106,222.0860217,225.9933736,226.3024718,31.33817566,22.63915426,53.38301464,,,,
108,221.4991128,224.9048892,226.3470354,31.27026567,23.26648634,20.73282258,,,,
